MBEA1	MBEA2	MBEA3	MBEP1	MBEP2	MBEP3	CR1	CR2	CR3	AC1	AC2	AC3	IS1	IS2	IS3	IC1	IC2	IC3
1.67	2	3	0	1.5	1.5	0.67	2.33	2.33	2.67	3.33	3	2.33	2.67	3	2.67	3.33	3.33
2.33	2.5	3	1	2	1.5	2	2.33	2.33	2.33	2.33	2.5	3.33	2	2.25	2.67	2.33	2
2	2	2	1.67	2.5	2	1.33	2	2	2	2.33	2.5	2	2	2	2.33	2.33	2
3.33	3	3	0.33	1	1.5	1	1	1.67	2.67	2.33	2.5	2	2.33	1.75	2.67	2.67	2
3.33	3	4	0.33	1.5	1	1.67	2	1.67	3.67	3.67	4	3.67	3.33	3.25	3.67	4	3.33
3.33	3.5	3	0.33	1.5	1	1.67	1	1	1.67	1.33	2.5	3	2.33	1	3	0.67	0.33
1.33	2.5	0.5	0.33	0.5	0.5	1.33	2	1.67	2	2.33	2.5	2	2.33	2.25	2.67	2	2.33
2.67	2.5	1.5	0.67	1.5	1	1	1.33	1	2.33	1.67	2.5	1.33	2	1.75	2.33	1.33	1.67
1.33	2	2.5	0	1.5	0	1.67	0.33	0	2	2	1.5	2.33	2	2.25	1.67	0.67	0.33
1.67	1.5	1.5	2.33	1.5	2	2.33	2	2	2.33	2.67	2.5	2	1.67	2.25	2.67	2	2
3	3	2	1.33	2	0.5	3.33	1.33	1	1.67	2.33	1.5	2.67	2	1.25	2	2.33	2
2	2	3	2.33	2	2	2.67	2	1.67	1.33	2	2	2	1.67	2	2.33	1.33	1
2	2.5	2.5	1.67	1.5	2	1.67	2	1.67	2.33	2.33	2	2	2	2	2.33	1.67	2
2.67	2.5	1	0	0.5	1	2.33	0.33	0	3.33	3	3.5	2.67	2.33	2.75	3.33	2	2.67
2.33	2	2.5	2	2	1	1.67	1.67	2.67	2.33	2.33	2.5	2	2.33	2.5	2.33	2.33	2.67
1.67	1.5	1	2.67	2	2.5	1	0.67	1.33	2.33	1	2.5	0.33	0.67	1.25	1.67	0.33	1.33
2.33	1.5	2.5	2	1	1.5	1.33	1	2	3	2.33	2.5	3.33	2.67	3.25	3	3	2.33
2	2	3	1.33	1	1.5	2	2.67	3	2.33	2.67	3	2.67	2.33	2.75	1.67	2.33	3.33
1.33	2	2	2	2.5	2	0.67	0	1	1	1.67	2	1	1.67	1.25	2	1.33	1.67
2.67	1.5	1.5	2	2.5	2.5	1.67	1.33	1.33	2.33	2.33	3	2	2	1.75	2.33	1.67	1.33
1.33	2	0.5	0.33	0.5	0.5	0.67	2	0.33	1.67	3.33	3.5	1.67	2	2	2.67	2.33	2
2.67	1.5	1.5	2	2	3	2.33	2.33	2.33	3.33	3	3.5	2.67	2.67	2.75	3.67	2.67	2.67
2.33	2	3	3	3	3	0.67	0.67	0.67	2	1.67	1.5	1.33	1.33	1	1.67	0.33	0.67
2	1	1.5	2.33	2	2.5	1.33	1.67	1.67	2.67	2	2	1.67	2	1.25	1.67	1.67	1.33
2	1	2.5	1.67	1	1.5	2.33	2.33	2	2.33	3	3.5	2.67	2.33	2.5	3	3	2.33
1	2	1.5	0.67	1	0.5	2.67	2.67	2.67	3.67	3.33	4	2	2.33	3.25	3.33	3	2.67
1.67	2	1.5	1.67	1.5	1	1.33	1.67	1.33	2	2.33	3	2.67	3	2.75	3	3	2.33
2.33	3.5	3.5	0.67	2	1.5	1.33	2.33	2.33	4	3.67	4	3	3	2.75	2.67	3.33	3
1.33	2	2	2.33	3.5	1	1	0.67	1	1.33	1.33	3	1.33	2	2	1	1.33	1.67
1.67	2	2	2	2.5	1.5	1	1	1.33	1.33	1.67	3	1.67	2	2	1	1	1.67
2.67	2	3	0	1.5	2	1.33	1	0.33	2	1.33	2.5	2.33	2	2.25	2.67	2	1.33
2.67	2.5	2	1.67	3	2	1.33	2	2.33	2	2	3	1.67	1.67	2.25	2.33	2.67	2.67
3	3	3.5	0.33	2	0.5	1	2	2	2	1.67	3.5	2.33	3.33	3.5	3.33	3	2.33
2	3	2.5	1	2	2	1.33	1	1.33	2.33	2	1.5	1.33	1.33	2	2.67	1.67	1.67
2	1.5	1	1	2	1	0.67	2	1	2	2.67	2.5	1.67	2	1.75	2.33	2.33	1.67
2	2.5	1.5	1.33	2	2.5	1.33	1	1	2.67	3.67	4	1.67	1.67	2.5	3.67	2.33	2.33
2.33	3	2	1.33	2	2	0.67	0.67	1	2.33	2	2.5	1.33	2	1.25	2.33	2	1.33
2.33	2.5	2.5	1.33	2.5	0.5	1	3.33	2.67	2	4	4	4	3.33	4	2.67	2.67	3.33
3	2.5	3	0.33	0.5	0	2	2.67	2.67	3.67	3.33	4	3	3	3.5	2.67	2.67	2.67
0.67	0	1	3.33	3	1.5	0.67	0.33	0.33	0.33	0.33	0	1.33	0	0	1	0	0
1.67	1	1	2	3	1.5	0.67	0.67	1	1	0	1	1.33	1	0.25	0.67	0.67	0
0.67	1.5	1	2	1.5	2	0.67	1	0.67	1.33	1.33	1	1	1	0.5	2.33	1	0.67
1	1.5	2	0.33	1	0.5	1.33	2	2.67	3	3	3	2.67	2.67	3	2.67	2.33	2.67
3	2.5	2	1.67	1.5	0	3.33	2.33	2.33	2.67	3.67	2.5	4	3.67	2.75	2.67	3.67	2.67
2	2	1.5	2.33	2.5	3	0.67	1	1.67	1	0.67	2	1	1	1	1.67	1.67	0.67
1.33	0.5	3	1.67	2.5	3.5	0.67	0.33	0.67	0.33	0	0	0.33	0.67	0	0.67	0	0
0.67	2	2	1	2	0.5	1.33	2.33	1.67	1.67	2.33	3	3	2.33	2.75	1.67	1.67	2.33
2	1.5	2	1	1.5	2	1.67	2.33	1	1.67	2.67	3	3	2	2.25	3.33	2.33	2
0.67	0.5	1	2.33	3.5	1.5	0.33	0	1	1.67	2.33	3	1.67	2	1.5	1.33	1	1.67
1.67	1.5	0.5	1.33	1	1	1.33	1.67	2	2.33	2	2.5	2.67	2.33	2	2.33	2.33	2
2.33	2.5	1	0	1	0	1	0.33	0	1.67	2.33	3.5	2.33	2	1.25	2.67	1.33	1
1.67	1.5	2	1	0.5	1	2	2.33	3	2.33	2	3	2.33	2.67	3	3	2.67	2.67
2.33	2	1.5	0.67	1	1	1.33	2.33	2	1	1.67	2.5	2.33	2.67	2	2.33	2.33	2
2.33	2	2	0.67	1	0.5	1.67	2	2.67	2.67	2	3	2.67	2.33	2.25	2.67	2.33	2
2.67	2.5	3	0.67	0	2.5	2.67	3	2.33	3.33	3.67	3.5	3	2.67	3	2	2	2.33
2.67	2	2.5	1.67	2	2.5	2	1.67	1.33	2.33	2	3	2.67	1.67	2.5	2.33	2.33	2.33
2.67	1.5	1	1.33	1	1	1	1.33	1.33	1.33	2	2.5	2	1.33	1.25	2.67	2.67	2
3	2.5	2.5	1.67	1	0.5	1.33	2.33	2.33	3	3.33	3.5	3.33	2.33	3	2.33	3	3
1.67	1.5	2	2	2	3	1.33	2	2	1.67	2.33	3	2	1.67	2.25	2.67	3	2.67
2.67	3	2.5	1.33	1.5	1	1.67	2.33	2	2.67	2.67	4	2.67	2.33	2.75	3.33	2.33	2.33
2	2	2.5	1.67	1.5	2	1.33	1.33	1.33	2	1.67	2.5	2	1.67	1.75	2	2	1.67
3.67	3	1.5	1.33	2.5	1.5	0.67	0	0.33	1.33	1.33	1.5	2	1.33	1.25	1	0.67	0.67
1.33	2	1	1	0.5	0.5	0	0.67	0.67	0.67	1.33	1.5	1	1.33	1.25	0.33	1	2
1.67	1	1	1.67	1.5	0	1.67	2	1.33	2	2	2.5	2.33	2	2.25	2.67	2	2
2.67	2.5	2	1.67	2	2	1.33	1.33	1	2	2	1.5	1.67	1.67	1.75	1.33	1.33	1.33
1.33	0.5	0	1.67	2	3	0.67	0	0	0	0.33	1	0	0.33	0	1	0.33	0.33
2.33	3	3	1.67	0.5	1	2.67	2.67	2.33	2.67	3	3	2.67	2.67	2	2	2.67	2
0.67	2.5	1	2	2	1.5	1.67	2.33	1.67	3	3.67	4	2	3	2	3.33	2.33	2.67
1.67	2.5	3	1	1	1.5	1.67	2.33	2.67	3	3	3	2.67	2.67	3	3	3	3
2.67	2	2.5	2.33	0.5	1.5	1.33	1	1.67	3.33	2.67	3.5	2.33	2.33	1.5	2.33	1.33	2
1.33	2	2	0.67	0.5	1	1.33	1.67	1.67	2.67	2.33	3	2	2.33	1.75	2.67	2	2.33
2	3	1.5	0	0	2	2	3.33	4	3	3	3.5	3.33	2.67	3.75	3.67	2.67	3.67
1.33	0.5	0	0	0.5	0.5	0.67	1	1	1.33	2.33	3	0.67	0.67	1.5	1	1.33	1
2	2.5	2.5	1	0	0.5	2	2.33	2.33	2.67	3	3	2.67	3	2.75	3	3	2.33
2.33	2.5	1	1.67	2.5	2	1	0.33	0.67	1.67	2.33	1.5	2	1.67	2	2	2	1.33
2	2	1	0.33	0	0.5	1.33	2.33	1.67	4	3.67	4	3	1.67	2.75	4	2	2.67
2	1.5	0.5	0	0.5	1	1.67	0.33	1.67	3.33	2.33	3	2.33	1.67	2.5	2.67	1.33	1.67
3	3.5	4	0	1	1	3.33	3.67	4	3.67	3.67	4	3	3.67	3.5	4	4	4
2.33	2	2	1.33	0	2.5	1.33	2.33	1	2.33	2	3	1	1	1.75	3	2.67	2.67
3.33	1.5	1	0.33	0	0	1	2	1.67	3	2.33	3.5	3.67	2.33	2.75	3.33	3.67	2.67
2.67	2	2	2.33	2.5	2	0.33	1	1	1.33	1.33	1.5	1.33	1.33	1	1.67	0.67	1
3.33	2.5	2.5	1.33	2	1.5	1	1.33	0.67	2.67	2.33	2.5	3	1.67	1.75	2	2	2
2.33	1.5	2	2	1.5	2	2	1.67	2	2.33	2	2	2	2	2.25	2	2	2
2.67	1.5	2	1	1.5	1	1	1.67	2	3	3	3	2.67	2.67	2.75	2.67	2.67	3
2.33	2	3	4	2.5	2.5	1.33	1	2.33	1.33	1.33	1.5	0.67	0.67	1.5	2.33	1.33	1.33
2.33	2	2.5	0.67	1.5	2	3.33	3	3	3.67	2.33	3	2.67	2.67	3	3.67	3	3
1.67	2	1.5	2	2	2.5	1.33	1.33	0	1.67	1	1.5	1.67	1.67	0.75	2.33	2	0
2	1.5	3.5	2	2	2.5	1.33	1.67	3.67	1.33	2.67	4	2.67	3.33	3	2.33	2.67	3.67
3.67	3	2	1.33	0.5	2	3.33	3.67	3.67	3.33	3	2.5	3.67	3	3	3.33	3.67	3.33
2.33	1.5	1.5	0.33	1.5	1	1	0.67	1.33	2.33	2.33	3	3	2.33	1.5	2	1.67	2
3	1.5	1.5	0.33	1	1	1.67	1.67	1.67	3	2.67	3	2.33	2.33	2.25	1.33	2.33	2.33
2.33	2	1.5	1.67	1	1.5	1.33	0.67	0.33	2.67	2.33	2.5	1	2	1.5	2.33	1.67	1.33
1.67	1.5	2.5	1	1	1.5	2	2	1	3	3	4	2	2	3	3.33	3.33	3
1	1	0.5	1.33	2	3	0.67	0.33	0.67	0.67	0.67	1	0.67	0.33	1	1.67	0.67	0.67
